,$\tilde{\beta}$,$\theta$
209,8.140265464782715,5.147469997406006
210,10.952899932861328,7.67225456237793
211,7.991267204284668,6.294604301452637
212,9.156835556030273,7.9951605796813965
213,8.138437271118164,8.85991096496582
214,7.131061553955078,6.988928318023682
215,7.4993977546691895,8.381975173950195
216,9.375581741333008,8.741934776306152
217,8.76951789855957,7.704442977905273
218,9.71414566040039,6.772030830383301
219,7.313414096832275,8.639604568481445
220,6.737846374511719,7.787919044494629
221,8.262316703796387,10.03208065032959
222,6.090181827545166,8.819929122924805
223,7.023561954498291,7.143583297729492
224,8.759836196899414,7.550064563751221
225,7.87182092666626,5.503554344177246
226,5.811246395111084,6.513653755187988
227,5.998928070068359,8.450139045715332
228,9.159475326538086,7.509897232055664
229,7.566089630126953,5.028936862945557
230,7.695008754730225,6.239284515380859
231,6.378921985626221,6.291750907897949
232,7.333786487579346,5.421458721160889
233,9.158127784729004,7.200488567352295
234,7.798413276672363,9.688596725463867
235,8.637975692749023,7.09499979019165
236,5.001683235168457,6.865864276885986
237,7.907651424407959,7.853762626647949
238,6.067883014678955,6.638452529907227
239,9.950664520263672,7.129841327667236
240,8.245283126831055,6.630851745605469
241,7.390798568725586,7.760496139526367
242,5.80015754699707,8.094395637512207
243,7.888749122619629,5.919855117797852
244,7.258643627166748,6.961243152618408
245,7.33413028717041,6.694446086883545
246,7.676774024963379,5.953627586364746
247,7.803699016571045,8.133758544921875
248,9.138566017150879,7.679018497467041
249,6.6526689529418945,7.015351295471191
250,7.955947399139404,6.447910308837891
251,8.6903715133667,6.594648361206055
252,6.314058780670166,7.91474723815918
253,6.99760103225708,7.497175693511963
254,8.30055046081543,7.844346046447754
255,8.323058128356934,7.978612899780273
256,9.208929061889648,5.2013421058654785
257,7.912201881408691,7.843091011047363
258,6.794914245605469,5.666175365447998
259,7.60834264755249,5.880021572113037
260,6.3762593269348145,9.034111976623535
261,7.684377193450928,9.620786666870117
262,8.462403297424316,7.728501319885254
263,6.448796272277832,6.389431953430176
264,6.502177715301514,8.856094360351562
265,5.154628753662109,8.847481727600098
266,8.01524829864502,7.759745121002197
267,5.28051233291626,6.143723011016846
268,7.514827728271484,5.695583343505859
269,8.696523666381836,6.348995685577393
270,6.080515384674072,6.11378288269043
271,7.447000503540039,6.571165084838867
272,7.19345235824585,6.288703441619873
273,6.3968329429626465,5.6290693283081055
274,7.086264133453369,6.604006290435791
275,8.539170265197754,7.669750690460205
276,10.649813652038574,8.07486629486084
277,8.775350570678711,5.946228504180908
278,10.577247619628906,9.027644157409668
279,6.9262189865112305,7.076613426208496
280,8.633246421813965,8.678509712219238
281,7.852715969085693,6.333583354949951
282,6.529693603515625,6.925802707672119
283,7.64931058883667,7.810595512390137
284,8.551129341125488,8.644295692443848
285,6.656120300292969,7.721749305725098
286,9.068656921386719,6.306783676147461
287,7.382391929626465,9.947675704956055
288,7.543371200561523,6.880126476287842
289,8.181153297424316,7.682257652282715
290,6.132052421569824,6.370100021362305
291,5.635995388031006,7.371097087860107
292,6.042319297790527,5.569320201873779
293,7.9924163818359375,6.543098449707031
294,6.983628273010254,5.551179885864258
295,8.496065139770508,8.509310722351074
296,6.199699878692627,6.2538862228393555
297,8.304242134094238,6.339295864105225
298,6.418468952178955,6.403485298156738
299,6.266269207000732,6.103475093841553
300,8.09290599822998,5.835054397583008
301,9.548168182373047,6.332756042480469
302,7.434357166290283,5.599245071411133
303,9.837477684020996,6.1598944664001465
304,10.96800708770752,4.829823017120361
305,7.2495880126953125,4.951208591461182
306,8.137901306152344,6.173656463623047
307,6.207095146179199,5.692036151885986
308,5.669646739959717,6.224178791046143
309,6.869750022888184,6.465997219085693
310,7.96481466293335,5.822505474090576
311,7.955638408660889,6.7143683433532715
312,6.793384075164795,7.71669340133667
313,8.315176010131836,5.470627307891846
314,8.824304580688477,6.344499111175537
315,6.8834662437438965,5.942433834075928
316,6.010290145874023,6.194368362426758
317,5.847267150878906,5.718584060668945
318,8.726964950561523,5.324281215667725
319,6.07043981552124,5.773238658905029
320,6.742433547973633,6.953126907348633
321,5.283013343811035,5.106440544128418
322,8.32050895690918,5.437232494354248
323,7.908516883850098,5.857123851776123
324,5.759465217590332,7.466784477233887
325,7.306858062744141,6.570858955383301
326,8.917428016662598,6.131998062133789
327,7.756966590881348,6.13307523727417
328,9.265993118286133,7.049476146697998
329,7.579994201660156,8.820391654968262
330,4.933285713195801,6.732317924499512
331,7.427902698516846,7.387002468109131
332,6.59151554107666,9.520828247070312
333,10.40289306640625,8.623252868652344
334,7.040274620056152,6.955763816833496
335,8.29010009765625,6.5966386795043945
336,7.962587356567383,5.883327007293701
337,10.49071216583252,8.555502891540527
338,8.363994598388672,7.624573230743408
339,6.384297847747803,7.911228656768799
340,8.767199516296387,7.029628276824951
341,6.428812026977539,7.3686065673828125
342,11.125937461853027,6.356746196746826
343,8.142830848693848,7.135730266571045
344,5.772903919219971,6.782304763793945
345,7.086410999298096,6.929513931274414
346,6.296943187713623,7.638011455535889
347,6.7293620109558105,7.894240856170654
348,8.271369934082031,5.252779960632324
349,6.12708044052124,6.656915664672852
350,6.990941524505615,6.54335880279541
351,7.23807954788208,7.9291090965271
352,6.447787284851074,6.694620132446289
353,7.051070690155029,8.747838020324707
354,8.810317993164062,6.797664642333984
355,10.504232406616211,6.159782409667969
356,7.252101421356201,5.096168041229248
357,7.100488662719727,6.340438365936279
358,7.041892051696777,7.033806800842285
359,6.115365028381348,6.648239612579346
360,7.252756118774414,5.194460391998291
361,6.170652866363525,6.983333587646484
362,7.577704906463623,5.534332752227783
363,10.649402618408203,7.762585639953613
364,6.936790466308594,6.761816024780273
365,12.070550918579102,7.787105560302734
366,5.657956123352051,10.077309608459473
367,7.116612911224365,6.2464494705200195
368,9.127240180969238,5.75956392288208
369,7.552597999572754,8.151426315307617
370,9.255476951599121,8.60084342956543
371,12.149969100952148,8.1622314453125
372,6.1222734451293945,5.987926006317139
373,8.468240737915039,7.391401290893555
374,10.887791633605957,8.476981163024902
375,7.701612949371338,6.920465469360352
376,7.7947587966918945,9.153969764709473
377,10.284000396728516,7.756896495819092
378,7.1629414558410645,6.554757118225098
379,10.74354362487793,6.695720195770264
380,8.875040054321289,11.211170196533203
381,8.557889938354492,6.999030113220215
382,6.169407844543457,8.370254516601562
383,8.347402572631836,6.998747825622559
384,10.619258880615234,6.499146938323975
385,7.321901798248291,7.623482704162598
386,6.278249740600586,5.518375396728516
387,8.044737815856934,7.807065486907959
388,8.326513290405273,7.798398494720459
389,8.349623680114746,8.172226905822754
390,8.859313011169434,7.675110816955566
391,6.069238662719727,6.325399875640869
392,8.924040794372559,8.459914207458496
393,6.133225440979004,7.451671123504639
394,6.879144668579102,7.172347068786621
395,5.229251861572266,7.962807655334473
396,8.705910682678223,8.473475456237793
397,6.580342769622803,6.590399265289307
398,7.635959625244141,5.834918022155762
399,8.839351654052734,4.4573163986206055
400,5.526546001434326,6.986944198608398
401,8.395661354064941,8.823713302612305
402,7.728446006774902,8.169477462768555
403,8.650215148925781,7.6722893714904785
404,7.669500350952148,7.426349639892578
405,10.771713256835938,7.123491287231445
406,9.633254051208496,6.173407554626465
407,5.608777046203613,6.192832946777344
408,8.049140930175781,6.070274829864502
409,7.9383416175842285,10.29198932647705
410,7.529250621795654,7.212014198303223
411,8.907683372497559,9.310896873474121
412,7.8378119468688965,7.829732418060303
413,9.383024215698242,5.077662467956543
414,8.793838500976562,7.63848352432251
415,8.218491554260254,6.738683223724365
416,9.110286712646484,8.056878089904785
417,8.536787986755371,5.412625789642334
418,11.65743637084961,6.9774861335754395
